player_id,player_name,role_name,role_name_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,Defender,1.0,"L. Koscielny, J. Matip, D. Sánchez, V. Kompany, J. Stones","Defender, Defender, Defender, Defender, Defender"
48,J. Vertonghen,Defender,1.0,"W. Hoedt, A. Rüdiger, G. Cahill, Nacho Monreal, A. Mawson","Defender, Defender, Defender, Defender, Defender"
54,C. Eriksen,Midfielder,0.8,"K. De Bruyne, M. Özil, H. Mkhitaryan, E. Hazard, J. Lingard","Midfielder, Midfielder, Midfielder, Forward, Midfielder"
74,R. Klavan,Defender,1.0,"P. Jones, A. Mawson, G. Cahill, J. Vertonghen, N. Aké","Defender, Defender, Defender, Defender, Defender"
93,J. Guðmundsson,Midfielder,0.6,"M. Ritchie, E. Kachunga, M. Antonio, A. Carrillo, A. Townsend","Midfielder, Forward, Forward, Midfielder, Midfielder"
107,E. Pieters,Defender,1.0,"K. Gibbs, P. van Aanholt, A. Cresswell, G. Bong, M. Suttner","Defender, Defender, Defender, Defender, Defender"
116,G. Wijnaldum,Midfielder,0.8,"W. Rooney, P. Pogba, N. Kanté, E. Can, A. Ramsey","Forward, Midfielder, Midfielder, Midfielder, Midfielder"
132,T. Kongolo,Defender,1.0,"P. Dummett, A. Cresswell, E. Pieters, K. Wimmer, G. Bong","Defender, Defender, Defender, Defender, Defender"
134,B. Martins Indi,Defender,1.0,"A. Ogbonna, C. Clark, F. Lejeune, C. Schindler, C. Kabasele","Defender, Defender, Defender, Defender, Defender"
160,D. Janmaat,Defender,1.0,"D. Yedlin, Cédric Soares, E. Schelotto, T. Smith, J. Kenny","Defender, Defender, Defender, Defender, Defender"
173,R. van La Parra,Midfielder,1.0,"N. Redmond, M. Pugh, R. Brady, Kenedy, M. Albrighton","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
262,L. Fer,Midfielder,1.0,"J. Livermore, Ander Herrera, E. Dier, Fàbregas, J. Henderson","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
284,M. van der Hoorn,Defender,1.0,"A. Mariappa, M. Jørgensen, D. Rice, Azpilicueta, M. Holgate","Defender, Defender, Defender, Defender, Defender"
340,Cuco Martina,Defender,1.0,"Javi Manquillo, G. Bong, C. Taylor, M. Suttner, P. Dummett","Defender, Defender, Defender, Defender, Defender"
370,V. van Dijk,Defender,1.0,"N. Otamendi, P. Jones, D. Lovren, R. Klavan, A. Mawson","Defender, Defender, Defender, Defender, Defender"
383,D. Tadić,Midfielder,0.6,"M. Arnautović, P. Groß, J. King, A. Townsend, J. Ibe","Forward, Midfielder, Forward, Midfielder, Midfielder"
454,P. van Aanholt,Defender,1.0,"K. Gibbs, E. Pieters, J. Holebas, C. Daniels, M. Suttner","Defender, Defender, Defender, Defender, Defender"
466,D. Pröpper,Midfielder,0.8,"N. Matić, T. Bakayoko, H. Maguire, M. Lemina, B. N'Diaye","Midfielder, Midfielder, Defender, Midfielder, Midfielder"
703,M. Yoshida,Defender,1.0,"C. Smalling, S. Mustafi, J. Tarkowski, A. Christensen, W. Reid","Defender, Defender, Defender, Defender, Defender"
3278,Bruno Saltor,Defender,1.0,"P. Zabaleta, T. Smith, K. Naughton, E. Schelotto, D. Yedlin","Defender, Defender, Defender, Defender, Defender"
3319,M. Özil,Midfielder,0.6,"C. Eriksen, David Silva, K. De Bruyne, E. Hazard, S. Rondón","Midfielder, Midfielder, Midfielder, Forward, Forward"
3324,Álvaro Morata,Forward,1.0,"C. Benteke, H. Kane, T. Deeney, A. Lacazette, D. Gayle","Forward, Forward, Forward, Forward, Forward"
3327,Joselu,Forward,1.0,"S. Okazaki, S. Mounié, P. Crouch, S. Long, G. Murray","Forward, Forward, Forward, Forward, Forward"
3350,Fàbregas,Midfielder,1.0,"A. Ramsey, J. Livermore, P. Pogba, L. Fer, J. Wilshere","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
3351,Kiko Femenía,Defender,0.8,"S. Aurier, K. Trippier, S. Coleman, Bellerín, V. Moses","Defender, Defender, Defender, Defender, Midfielder"
3360,Pedro,Forward,0.6,"C. Austin, C. Tosun, R. Pereyra, J. Lingard, D. Welbeck","Forward, Forward, Midfielder, Midfielder, Forward"
3361,A. Sánchez,Forward,0.6,"S. Mané, Philippe Coutinho, W. Zaha, A. Martial, D. Alli","Forward, Forward, Midfielder, Forward, Midfielder"
3413,Ander Herrera,Midfielder,1.0,"L. Fer, T. Davies, J. Livermore, C. Kouyaté, I. Hayden","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
3436,Javi Manquillo,Defender,1.0,"Cuco Martina, G. Bong, E. Pieters, P. Dummett, M. Suttner","Defender, Defender, Defender, Defender, Defender"
3523,F. Lejeune,Defender,1.0,"C. Kabasele, C. Schindler, J. Evans, C. Clark, Ahmed Hegazy","Defender, Defender, Defender, Defender, Defender"
3560,Nacho Monreal,Defender,1.0,"A. Rüdiger, J. Vertonghen, W. Hoedt, G. Cahill, A. Robertson","Defender, Defender, Defender, Defender, Defender"
3577,S. Rondón,Forward,1.0,"E. Hazard, J. Ayew, C. Tosun, S. Agüero, Roberto Firmino","Forward, Forward, Forward, Forward, Forward"
3802,Philippe Coutinho,Forward,0.4,"A. Sánchez, S. Mané, David Silva, İ. Gündoğan, D. Alli","Forward, Forward, Midfielder, Midfielder, Midfielder"
3928,Vicente Iborra,Midfielder,1.0,"A. Surman, Oriol Romeu, A. Westwood, A. Doucouré, L. Milivojević","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
4908,Alberto Moreno,Defender,0.8,"B. Chilwell, A. Robertson, F. Delph, B. Davies, C. Daniels","Defender, Defender, Midfielder, Defender, Defender"
5281,A. Nyom,Defender,1.0,"J. Ward, P. Zabaleta, J. Kenny, D. Yedlin, M. Lowton","Defender, Defender, Defender, Defender, Defender"
7853,K. Gibbs,Defender,1.0,"P. van Aanholt, E. Pieters, C. Daniels, A. Cresswell, M. Zeegelaar","Defender, Defender, Defender, Defender, Defender"
7855,L. Koscielny,Defender,1.0,"T. Alderweireld, D. Sánchez, D. Lovren, V. Kompany, J. Matip","Defender, Defender, Defender, Defender, Defender"
7868,A. Oxlade-Chamberlain,Midfielder,0.8,"A. Ayew, Willian, Bernardo Silva, W. Hughes, T. Davies","Forward, Midfielder, Midfielder, Midfielder, Midfielder"
7870,A. Ramsey,Midfielder,0.6,"Fàbregas, J. Wilshere, G. Wijnaldum, W. Rooney, Ayoze Pérez","Midfielder, Midfielder, Midfielder, Forward, Forward"
7873,J. Wilshere,Midfielder,1.0,"A. Ramsey, Fernandinho, E. Can, N. Kanté, G. Xhaka","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
7879,T. Walcott,Forward,0.2,"Bernardo Silva, C. Quaner, A. Carrillo, A. Knockaert, M. Phillips","Midfielder, Forward, Midfielder, Midfielder, Midfielder"
7885,R. Bertrand,Defender,1.0,"S. Kolašinac, A. Young, B. Davies, A. Masuaku, M. Zeegelaar","Defender, Defender, Defender, Defender, Defender"
7887,G. Cahill,Defender,1.0,"M. Sakho, A. Mawson, C. Schindler, L. Dunk, N. Aké","Defender, Defender, Defender, Defender, Defender"
7899,Oriol Romeu,Midfielder,1.0,"D. Stephens, D. Fletcher, N. Kanté, W. Ndidi, E. Dier","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
7905,R. Lukaku,Forward,1.0,"A. Lacazette, A. Barnes, H. Kane, Álvaro Morata, S. Agüero","Forward, Forward, Forward, Forward, Forward"
7906,Juan Mata,Midfielder,1.0,"A. Townsend, X. Shaqiri, P. Groß, R. Mahrez, W. Hughes","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
7914,J. Evans,Defender,1.0,"F. Lejeune, C. Schindler, C. Kabasele, K. Wimmer, M. Sakho","Defender, Defender, Defender, Defender, Defender"
7918,P. Jones,Defender,1.0,"A. Mawson, N. Aké, M. Sakho, R. Klavan, V. van Dijk","Defender, Defender, Defender, Defender, Defender"
7919,M. Keane,Defender,1.0,"P. Jagielka, J. Tomkins, S. Cook, J. Tarkowski, Ahmed Hegazy","Defender, Defender, Defender, Defender, Defender"
7922,C. Smalling,Defender,1.0,"M. Yoshida, A. Christensen, J. Tarkowski, S. Prödl, W. Reid","Defender, Defender, Defender, Defender, Defender"
7929,T. Cleverley,Midfielder,1.0,"A. Mooy, S. Davis, Y. Cabaye, P. Højbjerg, J. Allen","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
7932,D. Fletcher,Midfielder,1.0,"I. Gueye, J. Hogg, Pedro Obiang, Oriol Romeu, J. Shelvey","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
7934,J. Lingard,Midfielder,0.0,"Ayoze Pérez, S. Mounié, Roberto Firmino, C. Wood, Joselu","Forward, Forward, Forward, Forward, Forward"
7936,P. Pogba,Midfielder,0.8,"G. Wijnaldum, W. Rooney, Fàbregas, S. Davis, J. Allen","Midfielder, Forward, Midfielder, Midfielder, Midfielder"
7938,A. Valencia,Defender,1.0,"F. Hadergjonaj, K. Trippier, Cédric Soares, T. Alexander-Arnold, K. Naughton","Defender, Defender, Defender, Defender, Defender"
7939,A. Young,Defender,1.0,"R. Bertrand, A. Masuaku, C. Daniels, M. Zeegelaar, J. Holebas","Defender, Defender, Defender, Defender, Defender"
7941,J. Hernández,Forward,1.0,"S. Long, P. Crouch, A. Barnes, S. Mounié, A. Gray","Forward, Forward, Forward, Forward, Forward"
7944,W. Rooney,Forward,0.0,"G. Wijnaldum, J. Allen, A. Doucouré, S. Davis, N. Kanté","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
7945,D. Welbeck,Forward,1.0,"J. Defoe, C. Austin, Gabriel Jesus, Pedro, S. Vokes","Forward, Forward, Forward, Forward, Forward"
7958,M. Kelly,Defender,1.0,"J. Lascelles, S. Duffy, J. Stephens, W. Morgan, S. Cook","Defender, Defender, Defender, Defender, Defender"
