dataset,representation,mean_intra_similarity,mean_inter_similarity,gap_intra_minus_inter,gap_ci_95_low,gap_ci_95_high,n_intra_pairs,n_inter_pairs
1liga,raw_grid_baseline,0.33792266961772244,0.16148605064566557,0.17643661897205687,0.16894397430670496,0.18389584740196593,3060,3060
1liga,ssl_embedding,0.33698442474652834,0.0030350086886399225,0.3339494160578884,0.3182241294988061,0.34867769189121495,3060,3060
5liga,raw_grid_baseline,0.3256968799614988,0.16222363165978756,0.16347324830171125,0.1601302720821634,0.16688414694769513,16980,16980
5liga,ssl_embedding,0.3108002911886207,0.002991154254345581,0.3078091369342751,0.3013709078287779,0.313989843363233,16980,16980
