player_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,dataset_name,player_name,role_name,team_name,n_matches,total_touches,player_name_key,player_id_key,specific_position,position_status,transfermarkt_raw_position,transfermarkt_url
36,0.28170446344245853,0.06728999453544772,-0.015162814042244047,0.18413779534605842,-0.15779673276478648,0.005173251986871295,0.02401938329009893,-0.14488674594832843,-0.024486999517301163,0.08031997936510887,-0.17859076770944213,-0.030263165725045893,0.005508122165353138,-0.08733298986627606,0.17556284688147616,-0.08684080163296594,0.058217453718835986,-0.034737414273568384,-0.08870698458978411,-0.1524172426520385,-0.02710723175879991,0.07096288069068371,-0.11244708125262376,-0.080316662082762,-0.03968336166903602,0.16900644011604074,-0.058942870525693296,0.16282296676008085,0.04065007631414035,0.06412662621462469,-0.13729437257745994,0.16024554665581384,-0.2654445431647617,-0.10427713654139267,0.1634740006468964,-0.2290239329378974,0.15354446897449753,0.16412198302769557,0.036593436207530326,0.05276288179273279,-0.07391912557975149,-0.06766655529965568,0.164248344907478,0.06311162148681078,-0.1379518933754523,0.0546771308910932,-0.3352955830294497,0.07764034365286017,-0.15127609752471752,-0.01930785430943569,-0.11883785030277533,0.0373927462169316,-0.14814564609460046,0.11273681682709728,0.10857306639841957,-0.07973325842848095,-0.13759993660894757,-0.06572513303239759,0.11605975922544258,-0.1070889221512872,-0.12153377711972449,0.11290099769434753,-0.04829238610443208,0.11126948539375849,1liga,T. Alderweireld,Defender,Tottenham Hotspur,13,1132,t alderweireld,36,CB,DEF_NEEDS_DETAIL,,
48,0.23423797251760223,-0.07671353643721338,0.0828237252817501,0.04131963163046511,-0.045490735680708876,-0.11751927132011618,0.11951778590362788,-0.014095595862811033,-0.07130981949626489,0.16302516196344288,-0.13094249520856377,-0.13731383554130558,0.0647169610103669,0.24964489460063338,-0.08480011634864264,-0.06571100830997238,-0.03307354561114968,0.044636463728222206,0.11849289807822827,-0.06342698009261351,-0.10747955075293299,-0.3341196770068498,-0.16785112058961238,-0.07813786541637316,-0.13281816312944142,-0.03507313150245565,-0.026414809275912783,-0.1404985304133166,-0.026036907978157466,-0.06772901362066547,-0.19906703869887263,-0.07485895609853122,0.012120933037737536,0.08334615459162657,-0.04072375962328743,0.08963334167579393,-0.0947081772305824,0.10622178486908712,-0.05165658199716051,-0.05799816827191838,0.22080787608858768,-0.189591179765175,-0.08847177114653063,-0.04042211825913189,-0.07402489750065319,0.14338527033171888,0.035093607630674206,-0.0712467639365632,-0.0835309501327975,-0.03821140135226927,0.04750111550337586,-0.07818177892926044,0.10078165356981116,-0.001414257043558687,0.19792488309671094,-0.1586892963331147,-0.07520002613752025,-0.24119067924892068,0.1440425580902056,0.08791685392245939,0.24472177037886014,-0.16784610767766944,-0.09147279737189018,0.1912491397502402,1liga,J. Vertonghen,Defender,Tottenham Hotspur,36,3070,j vertonghen,48,CB,DEF_NEEDS_DETAIL,,
54,-0.16115100621850842,0.11126961935866388,-0.12298952240206833,0.2945884186712507,-0.026459518865714394,0.15203397425161688,0.08816201569153352,-0.15587118396173547,-0.04677743924183931,-0.15320276392303817,0.14033775589181421,0.08698321094874155,-0.13098159591053332,-0.0009532557772704408,-0.1609901715046543,-0.030692041657344796,-0.00586711730235828,0.14470517663198837,0.23527079781382043,-0.0011149035609984979,-0.06928593971016234,0.09286873843713415,-0.22084953730931423,0.11931144816069038,-0.053330086288237696,-0.2753681408064204,-0.1969628763123299,-0.12856978516129655,0.025953385324209804,-0.12558255880652053,0.14270785366511546,0.12920074047698213,0.07196835524371525,0.18731807743506654,-0.006685896668988761,-0.13593145037133855,0.09815573011164601,0.09575117025080429,-0.05711986261849434,0.003983772874527826,0.08719318410690365,-0.08015998530502363,0.0139697457637671,-0.07500178709917879,0.15728182509519367,-0.041340873262016214,0.0661524095149852,-0.04630536043459459,-0.17271685988984736,-0.04229221775224232,0.07274626034571834,-0.07134246856670713,-0.18205801763173626,-0.13078451839336916,0.013319249129276924,0.20579913712088752,-0.25845485587239064,0.014049373146296378,0.05495305159022043,0.07361183369304353,-0.052056053987101836,0.09883488113976155,0.04677101760833696,-0.0899454781860807,1liga,C. Eriksen,Midfielder,Tottenham Hotspur,37,3105,c eriksen,54,CAM,MID_NEEDS_DETAIL,,
74,0.1640349337391982,-0.014491202456470521,0.07466759111660784,0.05161934127811668,-0.05414394995300827,-0.12917860353137092,0.15411150459394998,-0.008182414371584552,-0.09927515052820744,0.21738625245923332,0.09050978328152856,-0.12041031188595828,0.114174329526523,0.22260548830091723,-0.008344755743847016,-0.09810050481362127,-0.12448603448358848,-0.053478277961614605,0.09087564481464976,-0.21502196317323205,-0.06778335481466334,-0.14441094396787563,-0.24530837489960597,-0.07129516807965884,-0.14807954259131673,0.13287316421504405,-0.12295521717149736,0.05920428735189508,-0.060972379743066345,-0.12182369487899147,-0.12439259123502037,-0.0860647430431827,0.09952203762005357,0.05400094777166678,-0.07713680122865267,0.0872992060045958,-0.1675049024335973,0.07576167835510333,0.014399044934931916,0.08437607237122755,0.06609676972487724,-0.09486948424773466,0.020888730343763654,-0.100143669449952,0.0212585682340973,0.19598779437410835,0.10439192240547993,-0.02226809772080431,-0.09609144288352753,-0.030000799269790834,-0.02424906617152624,-0.15266889594836747,0.07783454076478206,-0.018124131895199326,0.2568104293174361,-0.15072266733777592,-0.08546814736670719,-0.11565414862495921,0.23231150352651067,0.13110690071900563,0.264252556557756,-0.22598932015988554,-0.023181855440829187,0.14815467855376785,1liga,R. Klavan,Defender,Liverpool,16,1396,r klavan,74,CB,DEF_NEEDS_DETAIL,,
93,-0.12951295624003117,-0.09053520149637048,0.15127160210650448,0.02583158611644647,0.13299755143520622,0.1480528065440201,-0.08939372517704475,0.04955268235628382,0.16084463640663743,-0.04461058039142248,-0.013571216213063642,-0.09425061383473778,0.24628180066763644,0.1941643537183797,0.14324099350042532,0.2511890217751568,0.2665445052861296,0.0728011890640773,-0.26719032507823226,0.07524305935137587,-0.13329546682964438,-0.05888762755713264,-0.005129054756521245,0.00845433234546414,0.09041119624607874,0.2100497122526147,0.04899129785966155,-0.06672491778155364,-0.04658063915836508,-0.16480191225234234,0.17709612303573108,0.0118832339945075,-0.023351428542254464,-0.0007459503563089378,-0.0044509522981366735,-0.0460678698785653,0.21514455333186291,-0.15444024044701918,-0.033000101699414496,-0.12440349414834184,-0.10981034994568524,0.016641075981811155,-0.02701709369183894,-0.2749115934335554,0.056083831139001526,0.016161303859882785,-0.020366584949335426,0.015412439573818774,-0.19483103263465537,-0.1850264312160995,0.19270567292204727,-0.07516033778434314,0.11305584322455903,-0.06891258151122273,-0.1953965700315036,-0.09450184852790175,0.1384470536983094,-0.05663976604925132,-0.026099698756857925,0.03934652177005534,0.016757828551075344,-0.022800743458619443,-0.0021888173860768077,0.0263208187904086,1liga,J. Guðmundsson,Midfielder,Burnley,34,1616,j guðmundsson,93,RW,MID_NEEDS_DETAIL,,
107,-0.08329967102104004,-0.08492164393421414,0.12135310611834664,0.09621335744414092,-0.10033873075564964,0.04937602097026322,-0.18097439857220046,-0.10577327420701019,0.0944604411052642,-0.04337482879481223,-0.02739708724182321,0.03656488048557863,-0.16333315168039286,0.07321326601773653,0.007794366819159539,-0.15181521691969677,0.1825267032440886,0.01870177394467024,0.21935874314243906,0.13452174387150034,-0.14557107607244316,-0.11752503092382234,0.16821783252140163,0.14196469300825637,0.17761073919111234,-0.2179165068573734,0.13723882484588812,-0.1891944293460691,0.088478294712709,0.11768673910926158,-0.13894021877155882,0.03456087919861601,-0.029169658300414018,0.07860718433485661,-0.07283523119344325,-0.20647360093838796,-0.05102329533051485,0.14061538684004227,-0.031372136307207005,0.010428327917847102,0.2445018764293217,0.01792077946053233,0.007278054426520551,0.03625681225715698,-0.21468326266763946,-0.0337501739779089,-0.015923860426685556,0.12180430629095479,0.2406106478838086,0.13619176654614545,-0.03604342269910133,0.08578036712451019,-0.015184831226894287,0.2350363473188209,-0.14061741173837786,-0.033147507496950314,0.19194533688299084,0.048768287352406826,-0.039114662794339734,0.15341348776201494,0.06117674696759735,-0.11495638380134036,-0.03256951396201581,-0.17954366605738928,1liga,E. Pieters,Defender,Stoke City,31,1719,e pieters,107,LB,DEF_NEEDS_DETAIL,,
116,-0.1622154373195931,-0.14145312039393015,-0.1823638321774198,-0.1272994556161202,-0.212786263520495,-0.009206203043527867,0.082404538077462,-0.0524844854670062,-0.2489871832287291,-0.18792593162437513,-0.12544227511940997,0.1670603936097907,-0.011940762138912993,0.036508685103291305,-0.13564211060389256,-0.21054641741206953,-0.24350894763073352,0.12540256175964054,0.10816483968571976,-0.16760993524292525,0.009932565466968905,0.07043367285434994,-0.1815472741896798,0.017885106616595845,-0.008413584657042854,-0.13380840904082417,-0.02401819469843043,-0.12640580513332342,0.1773080281235324,-0.09012072716943813,-0.016430926822359228,0.14235558204842053,-0.04615322225236932,0.2549277424775221,0.03470067315268167,-0.05123142750111739,0.03941834586419543,0.003505015492446253,-0.005696256239000104,-0.06050550114438756,0.11324563676480491,-0.08279458488551251,-0.017268465229810608,0.22017976184961072,-0.04307965845190316,0.07230378621643382,-0.05701755992572886,0.0031077655778225257,-0.1479372174822574,-0.2350859301307245,0.10822619193730955,0.017178358381813766,-0.0759061254637638,-0.061419975643340896,-0.001351515975123904,0.18725451613551183,-0.1746309880783283,0.1279298013715285,0.195323719879566,-0.07498053711220884,0.031635652403529425,0.001729810337487086,-0.04953987705465023,0.11622303472241928,1liga,G. Wijnaldum,Midfielder,Liverpool,30,1652,g wijnaldum,116,CM,MID_NEEDS_DETAIL,,
132,0.05049080789867475,-0.03137353808620414,0.049324278495381686,0.1241895090992991,-0.05141920460889,-0.06251768559146811,-0.13866713857228666,-0.012892394269040977,0.024954779586424475,0.1382117891472113,0.007054592865279574,-0.08194083437951696,-0.12521730749030993,0.18684011006212,0.0017593728512816653,-0.10542153041119891,0.22306323142983758,0.03086830300881808,0.22726544062218765,0.06009682586654677,-0.11435348677147336,-0.15000954415156212,0.11560753563642691,-0.03408221269385761,0.03681941276594162,-0.16672896586555286,0.006624671609571267,-0.14366667722262833,-0.02125090639188559,0.045810858215909966,-0.1672163674411034,-0.027856467347571762,-0.02555379907976672,0.02614101434799214,-0.02964525167957062,-0.1578490552527915,-0.19004014359399146,0.16871982083030065,0.027970713324675583,0.08420930057477725,0.31881643343463484,0.011509202569489146,0.0021235867958292703,0.017927169260430902,-0.1935980408101573,-0.027559683152735645,0.05475802680079633,0.16595390878635102,0.25021289494182686,0.1782096039736023,-0.05088405034787689,0.03903323228273088,-0.01518658323063958,0.20790699974096993,-0.03282761108868744,-0.08203950698579371,0.21587802910331136,-0.03902473771682521,-0.012258820882310575,0.22938735266602622,0.19538055001472765,-0.1812586139576993,0.08397121535631925,-0.16757341727477212,1liga,T. Kongolo,Defender,Huddersfield Town,13,553,t kongolo,132,LB,DEF_NEEDS_DETAIL,,
134,0.19271365758239972,0.10610200733361762,0.0651124285980134,0.10592767515015049,-0.02885133127464902,-0.17079704427147213,0.16388832909288856,0.08875627446101694,0.08341461999055909,0.1460827172171748,0.05060863918491079,-0.053489408157715745,0.047101586665357874,0.0023256586823491446,0.038875918803081146,-0.0867521026025074,0.05727451940312811,-0.06002612824472111,0.03708657112167734,-0.018308990126346774,0.11814190715738777,-0.09732283716048408,-0.0004282293161681082,-0.23063273207692017,-0.1587135882805502,-0.03629218176674334,-0.09073829193394023,0.166321693948555,-0.18654862901560285,0.011311017059560146,-0.23611586345447616,-0.059579600057472315,0.20689741004117335,-0.12112090360371058,-0.10968633141557219,0.05477221222451681,-0.18861277519284333,-0.007279817738712757,-0.025875228242943884,0.12202520476769502,0.14085720409325025,-0.137584477049106,0.08497916991048103,-0.11149850070713528,0.10467458945556463,-0.020439906193917553,0.007564932127266948,0.0781290503306576,0.224819972787073,0.19396988650554292,-0.03794225659568129,-0.06577794558209633,0.11629973489545035,-0.06014958692614544,0.11703604725271416,-0.21629915449838105,-0.06421291500750566,-0.2295825775185908,0.021357298873221298,0.3102295246825757,0.14463048237964693,-0.1619259046221195,0.07403523862425435,0.08490166434514856,1liga,B. Martins Indi,Defender,Stoke City,16,521,b martins indi,134,CB,DEF_NEEDS_DETAIL,,
160,0.005306223067978759,0.12341046997992097,0.25307953887134355,0.06682594953121365,0.1607647904411625,0.09312642163308532,0.17304395198585493,-0.23952904519422843,-0.004364858378042192,0.021037934427442707,0.15691070500315193,0.20326806019815868,0.032885395473429696,-0.030946567549105478,-0.09925968011943628,0.1456206385753424,0.2507021382781783,-0.057634362565292856,0.11457728589106662,-0.009147476724699776,0.013930181767914657,-0.11334162162036894,0.17218727118055088,0.023066458402706106,0.037580190207542996,0.1769470461932762,0.05675151943315182,0.022270664140567425,0.11580162089053157,-0.09505528256196161,0.09993240671876313,-0.1214686660494705,-0.04067942564597371,0.11317977330948002,0.11321405955276197,0.16637092280618562,0.04705145819488395,-0.2335345233054516,0.09402987851239619,-0.04901146080346586,0.047687085575778866,0.1354150873605644,-0.07596742243296929,0.21905580309357922,-0.10207436847629053,0.020940564867671006,-0.07561703294287235,0.16676847522345345,-0.06551518600842726,-0.12981143085579114,-0.05700757201595948,0.15367974053589012,0.17126241579479454,0.045648222949706364,0.018758105110341858,-0.2077299582745693,0.015802180808150088,0.12482423039439747,-0.07186328063619378,0.09885479959794671,-0.06565028065978558,0.16895076918656943,-0.1031213699853572,0.22307960654113013,1liga,D. Janmaat,Defender,Watford,23,1285,d janmaat,160,RB,DEF_NEEDS_DETAIL,,
