player_id,player_name,role_name,role_name_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,Defender,1.0,"M. Ginter, R. Varane, Unai Núñez, J. Boateng, A. Mandi","Defender, Defender, Defender, Defender, Defender"
48,J. Vertonghen,Defender,1.0,"N. Moisander, Íñigo Martínez, W. Hoedt, A. Laporte, Z. Feddal","Defender, Defender, Defender, Defender, Defender"
54,C. Eriksen,Midfielder,1.0,"G. Kakuta, M. Özil, Joan Jordán, G. Ramírez, R. Nainggolan","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
74,R. Klavan,Defender,1.0,"Jemerson, J. Morel, K. Rekik, Sidnei, P. Jones","Defender, Defender, Defender, Defender, Defender"
77,N. Moisander,Defender,1.0,"J. Morel, A. Romagnoli, W. Hoedt, J. Vertonghen, A. Laporte","Defender, Defender, Defender, Defender, Defender"
93,J. Guðmundsson,Midfielder,0.6,"M. Ritchie, A. Candreva, A. Townsend, José Callejón, Malcom","Midfielder, Midfielder, Midfielder, Forward, Forward"
102,Marcelo,Defender,1.0,"K. Glik, Unai Núñez, M. Ginter, N. N'Koulou, Luis Hernández","Defender, Defender, Defender, Defender, Defender"
107,E. Pieters,Defender,1.0,"B. Martella, C. Daniels, Danilo Avelar, Rubén Duarte, K. Gibbs","Defender, Defender, Defender, Defender, Defender"
110,J. Willems,Defender,1.0,"B. Davies, A. Kolarov, José Ángel, C. Günter, R. Bertrand","Defender, Defender, Defender, Defender, Defender"
114,K. Strootman,Midfielder,1.0,"Thiago Alcântara, Gabriel, S. Milinković-Savić, J. Draxler, H. Aouar","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
116,G. Wijnaldum,Midfielder,1.0,"Borja Valero, P. Pogba, N. Keïta, M. Dembélé, Dani García","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
118,M. Depay,Forward,0.6,"A. Gómez, P. Sisto, H. Çalhanoğlu, L. Insigne, M. Gradel","Forward, Midfielder, Midfielder, Forward, Forward"
122,D. Mertens,Forward,1.0,"L. Suárez, F. Quagliarella, C. Immobile, K. Benzema, Álvaro Morata","Forward, Forward, Forward, Forward, Forward"
123,O. Toivonen,Forward,1.0,"M. Balotelli, Maxi Gómez, V. Ibišević, Y. Ōsako, E. Rivière","Forward, Forward, Forward, Forward, Forward"
130,S. de Vrij,Defender,1.0,"Hilton, K. Vogt, M. Caldara, David Luiz, L. Ceppitelli","Defender, Defender, Defender, Defender, Defender"
132,T. Kongolo,Defender,1.0,"Rubén Duarte, L. Hernández, Danilo Avelar, R. Bensebaini, Fernando Navarro","Defender, Defender, Defender, Defender, Defender"
134,B. Martins Indi,Defender,1.0,"A. Ogbonna, F. Acerbi, C. Kabasele, J. Vuković, Chema","Defender, Defender, Defender, Defender, Defender"
151,J. Guidetti,Forward,1.0,"K. Volland, Rodrigo, Roberto Firmino, S. Haller, L. Stindl","Forward, Forward, Forward, Forward, Forward"
159,J. Gouweleeuw,Defender,1.0,"Diego Llorente, M. Veljkovic, A. Mariappa, K. Théophile Catherine, L. Koscielny","Defender, Defender, Defender, Defender, Defender"
160,D. Janmaat,Defender,1.0,"Hugo Mallo, K. Naughton, Juanfran, F. Chafik, J. Korb","Defender, Defender, Defender, Defender, Defender"
173,R. van La Parra,Midfielder,0.8,"Chory Castro, A. Thomasson, I. Perišić, T. Inui, M. Gradel","Midfielder, Midfielder, Midfielder, Midfielder, Forward"
174,F. Đuričić,Midfielder,1.0,"S. Milinković-Savić, M. Hamšík, P. Zieliński, H. Aouar, K. Strootman","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
179,L. Narsingh,Midfielder,0.6,"Jesús Navas, Lucas Vázquez, B. Traoré, A. Gonçalves, Iván Alejo","Midfielder, Forward, Forward, Midfielder, Midfielder"
192,J. Vuković,Defender,1.0,"N. Pallois, A. Gamberini, B. Mee, C. Jullien, A. Hack","Defender, Defender, Defender, Defender, Defender"
