dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date
5liga,48,2500009,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,85,0.0,95.0,
5liga,48,2500027,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,116,1.0,94.0,
5liga,48,2500031,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,63,0.0,91.0,
5liga,48,2500046,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,68,0.0,96.0,
5liga,48,2500057,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,71,1.0,92.0,
5liga,48,2500061,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,87,0.0,90.0,
5liga,48,2500077,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,90,1.0,95.0,
5liga,48,2500088,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,93,1.0,82.0,
5liga,54,2499725,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,100,1.0,91.0,
5liga,54,2499737,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,77,5.0,91.0,
5liga,54,2499746,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,74,2.0,83.0,
5liga,54,2499752,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,68,0.0,67.0,
5liga,54,2499766,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,131,1.0,93.0,
5liga,54,2499778,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,51,0.0,71.0,
5liga,54,2499783,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,66,0.0,73.0,
5liga,54,2499797,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,89,2.0,96.0,
5liga,54,2499807,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,43,3.0,80.0,
5liga,54,2499816,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,87,1.0,91.0,
5liga,54,2499827,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,86,0.0,89.0,
5liga,54,2499830,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,72,0.0,93.0,
5liga,54,2499847,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,93,3.0,94.0,
